,row_id,file_name,file_name_with_detections,x_image,y_image,heading,possible_trees,additional_matches,tree_index,tree_file_name,x_box,y_box,width_box,height_box,x_bottom,y_bottom,meters_to_tree,distance_to_tree,angle_to_tree,real_angle,x_distance,y_distance,x_tree_image,y_tree_image,tree_id,tree_name,name_eng,name_heb,type_1,type_2,type_3,x_tree,y_tree,best_angle_diff
0,1,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",1,"0_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.731614053,0.266093433,0.53499341,0.53156656,0.231614053,0.468123287,49.09415761,0.000490942,26.32489278,4.341942223,-0.000457639,-0.000177737,34.76546706,32.04204974,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.298229634
1,2,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",2,"1_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.499832392,0.274838299,0.999000251,0.549730659,-0.000167608,0.450296372,42.32847085,0.000423285,-0.0213265,4.188666132,-0.000366549,-0.000211688,34.76555814,32.04201579,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.123519161
2,3,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",3,"2_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.251958638,0.317120254,0.265539944,0.368146062,-0.248041362,0.498806715,63.36791228,0.000633679,-26.43975724,4.034969932,-0.000493758,-0.00039718,34.76543094,32.0418303,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.122797219
3,4,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",4,"3_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.211062387,0.301375329,0.420439869,0.408831447,-0.288937613,0.494208947,60.99027695,0.000609903,-30.312549,4.012438943,-0.000466499,-0.000392887,34.76545819,32.04183459,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.151902703
4,5,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",5,"4_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.478550524,0.287613899,0.166495875,0.302687049,-0.021449476,0.561042577,106.3378155,0.001063378,-2.189434956,4.176052589,-0.000914066,-0.000543376,34.76501063,32.0416841,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.005948476
5,6,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",6,"5_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.106432483,0.286051184,0.208529755,0.381374031,-0.393567517,0.5232618,77.66225027,0.000776623,-36.94838636,3.973833206,-0.000574267,-0.000522838,34.76535043,32.04170464,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.26303523
6,7,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",7,"6_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.237504408,0.317102641,0.363460332,0.371469796,-0.262495592,0.497162461,62.50715935,0.000625072,-27.83349633,4.026861487,-0.000483859,-0.000395721,34.76544084,32.04183176,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.133071511
7,8,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",8,"7_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.370366842,0.330083311,0.170396805,0.298916996,-0.129633158,0.520458192,75.87213867,0.000758721,-13.98635515,4.107420889,-0.000624064,-0.000431512,34.76530063,32.04179597,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.045832884
8,9,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",9,"8_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.694423676,0.267878264,0.609467506,0.535456419,0.194423676,0.464393526,47.59447872,0.000475945,22.71718229,4.320953414,-0.000439945,-0.00018158,34.76548475,32.0420459,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.270889939
9,10,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",10,"9_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.175740078,0.364143193,0.232403144,0.452648073,-0.324259922,0.409532771,30.15641961,0.000301564,-38.37148249,3.965553969,-0.000221301,-0.000204858,34.76570339,32.04202262,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.104226414
